Period;Birth_Death;Region;Count
2018;B;New Zealand                            ;58020
2018;D;Northland region                       ;1692
2018;D;Auckland region                        ;8586
2018;D;Waikato region                         ;3420
2018;D;Bay of Plenty region                   ;2583
2018;D;Gisborne region                        ;429
2018;D;Hawke's Bay region                     ;1515
2018;D;Taranaki region                        ;1026
2018;D;Manawatu-Wanganui region               ;2190
2018;D;Wellington region                      ;3330
2018;D;Tasman region                          ;402
2018;D;Nelson region                          ;441
2018;D;Marlborough region                     ;450
2018;D;West Coast region                      ;291
2018;D;Canterbury region                      ;4431
2018;D;Otago region                           ;1626
2018;D;Southland region                       ;804
2018;D;Region not stated or
area outside regio;15
2018;D;New Zealand                            ;33225
2019;B;Northland region                       ;2250
2019;B;Auckland region                        ;21405
2019;B;Waikato region                         ;6237
2019;B;Bay of Plenty region                   ;4047
2019;B;Gisborne region                        ;675
2019;B;Hawke's Bay region                     ;2037
2019;B;Taranaki region                        ;1542
2019;B;Manawatu-Wanganui region               ;3057
2019;B;Wellington region                      ;5904
2019;B;Tasman region                          ;462
2019;B;Nelson region                          ;537
2019;B;Marlborough region                     ;480
2019;B;West Coast region                      ;354
2019;B;Canterbury region                      ;7164
2019;B;Otago region                           ;2310
2019;B;Southland region                       ;1152
2019;B;Region not stated or
area outside regio;21
2019;B;New Zealand                            ;59637
2019;D;Northland region                       ;1662
2019;D;Auckland region                        ;8619
2019;D;Waikato region                         ;3393
2019;D;Bay of Plenty region                   ;2787
2019;D;Gisborne region                        ;456
2019;D;Hawke's Bay region                     ;1584
2019;D;Taranaki region                        ;1041
2019;D;Manawatu-Wanganui region               ;2178
2019;D;Wellington region                      ;3693
2019;D;Tasman region                          ;450
2019;D;Nelson region                          ;474
2019;D;Marlborough region                     ;414
2019;D;West Coast region                      ;300
2019;D;Canterbury region                      ;4608
2019;D;Otago region                           ;1695
2019;D;Southland region                       ;888
2019;D;Region not stated or
area outside regio;21
2019;D;New Zealand                            ;34260
